"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)",,,,,,,,,,,,,,,,,,,,,,
"Geral, grupo, subgrupo, item e subitem","Brasil, Município e Região Metropolitana",Variável x Mês,,,,,,,,,,,,,,,,,,,,
,,IPCA - Variação acumulada em 12 meses (%),,,,,,,,,,,,,,,,,,,,
,,janeiro 2023,fevereiro 2023,março 2023,abril 2023,maio 2023,junho 2023,julho 2023,agosto 2023,setembro 2023,outubro 2023,novembro 2023,dezembro 2023,janeiro 2024,fevereiro 2024,março 2024,abril 2024,maio 2024,junho 2024,julho 2024,agosto 2024,setembro 2024
Índice geral,Brasil,"5,77","5,6","4,65","4,18","3,94","3,16","3,99","4,61","5,19","4,82","4,68","4,62","4,51","4,5","3,93","3,69","3,93","4,23","4,5","4,24","4,42"
,Rio Branco (AC),"5,5","4,99","4,15","3,88","3,97","2,62","3,9","4,71","5,29","5,14","5,06","4,62","4,58","4,39","4,01","3,5","3,4","4,26","4,49","3,82","4,11"
,São Luís (MA),"5,52","4,81","3,45","2,94","2,26","1,11","1,8","3,35","4,02","3,05","2,28","1,7","2,79","3,21","3,29","3,22","4,27","5,04","5,53","4,51","4,62"
,Aracaju (SE),"5,74","5,34","4,59","3,59","3,19","2,76","4,29","5,16","5,37","4,86","4,94","3,94","4,05","4,27","4,06","4,46","4,73","4,54","4,46","3,76","3,75"
,Campo Grande (MS),"5,15","4,61","3,54","3,21","3,24","2,43","3,29","3,98","4,69","4,5","4,71","4,76","4,64","4,92","4,32","3,76","3,88","4,15","4,57","4,33","4,45"
,Goiânia (GO),"4,24","4,18","3,08","3,04","2,81","1,3","3,65","4,11","4,32","4,6","3,94","3,82","4,48","4,13","3,46","2,91","2,69","4,22","4,5","3,84","5,08"
,Brasília (DF),"6,08","5,61","5,3","4,62","4,49","3,24","4,62","5,56","6,13","5,87","5,21","5,5","4,78","5,06","4,13","4,12","4,27","5,04","5,06","4,53","4,5"
,Belém (PA),"5,3","5,19","4,53","3,86","3,5","3,13","4,76","5,23","5,71","5,11","5,15","4,82","5,18","4,99","4,69","4,44","4,57","4,8","4,94","3,87","3,6"
,Fortaleza (CE),"5,9","5,86","4,47","4,03","3,16","2,13","2,97","4,5","5,32","4,61","4,64","4,88","4,69","4,8","4,72","3,99","3,99","4,71","5,02","4,25","4,42"
,Recife (PE),"5,4","5,42","4,48","3,48","3,34","2,47","3,31","5,16","5,67","4,57","3,86","3,18","3,79","3,53","3,23","3,63","3,65","3,26","3,19","2,75","2,87"
,Salvador (BA),"6,53","6,51","5,36","5,18","4,21","2,7","4,05","4,41","4,79","4,46","4,01","4,48","3,49","3,65","3,36","3,49","3,73","3,93","3,86","3,71","3,95"
,Belo Horizonte (MG),"4,66","4,39","3,31","2,85","3,07","2,54","3,49","4,71","5,34","5,24","4,96","5,05","5,34","5,35","5,07","4,91","5,07","5,23","5,67","5,89","6,17"
,Grande Vitória (ES),"5,39","5,45","4,77","4,23","4,32","3,76","5,19","5,03","5,3","4,85","5,17","5,1","4,53","4,3","3,49","3,61","4,13","4,12","4,34","4,16","4,23"
,Rio de Janeiro (RJ),"6,47","5,76","4,69","4,14","3,64","3,03","3,52","3,47","3,77","3,74","3,97","4,29","4,3","4,54","4,05","3,33","3,71","4,02","4,28","4,24","4,6"
,São Paulo (SP),"6,67","6,53","5,61","5,2","5,08","4,44","4,49","4,74","5,48","5,03","5,05","4,97","4,51","4,52","4,07","3,74","3,87","4,18","4,74","4,61","4,59"
,Curitiba (PR),"4,72","4,52","3,12","2,83","2,7","2,07","3,82","4,59",5,"4,97","4,69","4,18","4,63","4,38","3,35","3,13","3,38","3,61","3,63","2,96","3,52"
,Porto Alegre (RS),"4,4","4,74","4,37","3,71","3,31","2,58","3,73","4,93","5,6","4,85","4,77","4,63","4,53","4,29","2,86","3,02","3,83","3,71","3,53","3,47","3,69"
Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo,,,,,,,,,,,,,,,,,,,,,,